category,datetime,headline,id,image,related,source,summary,url
company,1628246520,Jvion Integrates AI-Powered Insights with Cerner Social Determinants of Health and Behavioral Health Products,69545627,,CERN,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=49e7fe60dcc884f821c4645a514cf630139a42423eb2d5e81963d17788e474b3
company,1628246340,"Premier Fund Managers Ltd Buys Raymond James Financial Inc, Prosperity Bancshares Inc, Qiagen NV, Sells Floor & Decor Holdings Inc, Comerica Inc, Goosehead Insurance Inc",69562203,,CERN,GuruFocus,,https://finnhub.io/api/news?id=5aebe4f858198e9c411caa486e3e4b4475a6d541667f144d1c04ed1e2dc0036d
company,1628241900,"Innovative Cerner Solution Addresses Social Determinants of Health, Further Advancing Health Equity",69545628,,CERN,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=83d5e754dd6a27acc5fb800376ed4c3cbaf565647f080b319a138b3f8081a8fb
company,1628238360,Cerner announces Cerner Determinants of Health solution,69545629,,CERN,Thefly.com,Cerner announced a new so... CERN,https://finnhub.io/api/news?id=669c2857b51254fd80db37c2d6b439dc21b247c42e43c5cf21a00f4ca31bd16a
company,1628181780,"Cerner Corp. stock falls Thursday, underperforms market",69534985,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. shed 0.24% to $79.90 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=01b47aeeef3c74f5a58253a359d2590f3196452525ba70444044decd68a768e0
company,1628095380,"Cerner Corp. stock falls Wednesday, underperforms market",69511240,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. slipped 2.22% to $80.09 Wednesday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=56368b628b0dc05be062ff84b4603f2c09410dbbb7bc9ede2c3ea6cac58d1c26
company,1628088389,Cerner: Don't Miss Out On This Healthcare IT Play,69499429,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1302801668/medium_image_1302801668.jpg,CERN,SeekingAlpha,"Cerner operates at the intersection of healthcare and information technology, and has a moat-worthy business model. It's expanding its relationship with the U.S.",https://finnhub.io/api/news?id=4f5b3694a7ac6e2c07ba348b1385901bed7ed8ff59de90577fd3f4c230cb7662
company,1628008980,"Cerner Corp. stock rises Tuesday, outperforms market",69511241,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. advanced 2.25% to $81.91 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=107501dca94ee59bce657293e3e6c1e46a6adea6e4ece492bba9bd5a2c8a7450
company,1627971698,The Returns At Cerner (NASDAQ:CERN) Aren't Growing,69470877,https://s.yimg.com/uu/api/res/1.2/YCTQAAaTQd24fXe7eLAeOQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/8e4ccfff9d65315feb5142c582659a19,CERN,Yahoo,"If we want to find a stock that could multiply over the long term, what are the underlying trends we should look for...",https://finnhub.io/api/news?id=8d9b60a20889eb22022a651583c7c9c7618fef0dcef708996f56ed16f8d6498a
company,1627922580,Cerner Corp. stock underperforms Monday when compared to competitors,69462807,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. slid 0.35% to $80.11 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=cfc28afa7a4ae36513b1c4621caab7a11dd3ca5d39144f25b468d98e0a4b5af5
company,1627889520,Cerner price target raised to $88 from $83 at SVB Leerink,69448127,,CERN,Thefly.com,SVB Leerink analyst Steph... CERN,https://finnhub.io/api/news?id=e049d236daf4b9f8e42c8445d3d8e3377526ee118a6e5e49cd6bf6c120f8f333
company,1627887540,Cerner price target raised to $90 from $89 at Canaccord,69448128,,CERN,Thefly.com,Canaccord analyst Richard... CERN,https://finnhub.io/api/news?id=874fd97155df7340fa1747b5dbc7e9c83798b966c4906deb39dd0eef304ef6dc
company,1627879140,"First Personal Financial Services Buys Sherwin-Williams Co, Kimberly-Clark Corp, Vornado Realty Trust, Sells Invesco Dynamic Large Cap Value ETF, SPDR S&P Regional Banking ETF, Facebook Inc",69464833,,CERN,GuruFocus,,https://finnhub.io/api/news?id=db69085cd5efac4a9445579a1eafeb834d077657433078ce01b9c3b3deb9cd61
company,1627680646,Cerner Corporation (CERN) Q2 2021 Earnings Call Transcript,69421954,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,CERN,Yahoo,"CERN earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=91081988744ad1c12156c6f30e9dde981249d964a546b9ed527a95102963ac9a
company,1627664951,Cerner Corporation's (CERN) CEO Brent Shafer on Q2 2021 Results - Earnings Call Transcript,69415076,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CERN,SeekingAlpha,"Cerner Corporation (NASDAQ:CERN) Q2 2021 Earnings Conference Call July 30, 2021, 9:00 AM ET Company Participants Allan Kells - Senior Vice President, Investor Relations Brent Shafer -...",https://finnhub.io/api/news?id=04781d92f490c40117dd7135a6f0061f89d5934cf57a36d22610e8d946fc2533
company,1627663380,"Cerner Corp. stock rises Friday, outperforms market",69430461,https://images.mktw.net/im-220105/social,CERN,MarketWatch,"Shares of Cerner Corp. advanced 2.37% to $80.39 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=5efc8a397647b98213f2db3c101deed412ee49f5dda98a003735b18f14827654
company,1627651500,"GLOBAL BUSINESS: IDEXX, RWE raises guidance on strong results",69419160,,CERN,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=841171f44d79dec2efff2fc5732fcfc764d7a031285c2e7dd34bad8d487e9d20
company,1627650541,Cerner (CERN) Q2 Earnings and Revenues Surpass Estimates,69411708,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,CERN,Yahoo,Cerner's (CERN) second-quarter results benefit from gains across six of its business units.,https://finnhub.io/api/news?id=f9d1a0dbf0173688c9be19d2febc1632929cf4659b4728818f01f4a09a9ceebe
company,1627649712,Cerner (CERN) Q2 Earnings and Revenues Beat Estimates,69421956,https://s.yimg.com/uu/api/res/1.2/eeFsK50..hTdRBoBNDEyoA--~B/aD03MTE7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/d2f7ed3d1940141716bfd200f5c94c6b,CERN,Yahoo,"Cerner (CERN) delivered earnings and revenue surprises of 5.26% and 1.30%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=aefa3cb13f4ed5db51ab185c13aeb961956a5e0875a4e82f8d19869042e92662
